trade_date,dominant_code,close,oi,dominant_switch,switch_noise,ema_fast,ema_slow,dif,dea,macd_hist,dif_slope,dea_slope,hist_slope,trend,signal,position
2019-09-25,SS2002.SHF,15575,21358,False,False,15575.0,15575.0,0.0,0.0,0.0,,,,sideways,0,0
2019-09-26,SS2002.SHF,15705,19368,False,False,15595.0,15584.62962962963,10.370370370370438,2.0740740740740877,16.592592592592702,10.370370370370438,2.0740740740740877,16.592592592592702,strong_uptrend,0,0
2019-09-27,SS2002.SHF,15725,15904,False,False,15615.0,15595.02743484225,19.97256515775007,5.653772290809284,28.63758573388157,9.60219478737963,3.5796982167351965,12.044993141288867,strong_uptrend,0,0
2019-09-30,SS2002.SHF,15700,14590,False,False,15628.076923076924,15602.80318040949,25.273742667433908,9.57776636613421,31.391952602599396,5.301177509683839,3.9239940753249254,2.7543668687178275,strong_uptrend,0,0
2019-10-08,SS2002.SHF,15675,14614,False,False,15635.295857988167,15608.15109297175,27.144765016417296,13.091166096190827,28.107197840452937,1.871022348983388,3.5133997300566175,-3.2847547621464592,uptrend,0,0
2019-10-09,SS2002.SHF,15675,14500,False,False,15641.40418752845,15613.10286386273,28.301323665718883,16.13319761009644,24.33625211124489,1.1565586493015871,3.042031513905611,-3.770945729208048,uptrend,0,0
2019-10-10,SS2002.SHF,15765,15286,False,False,15660.418927908688,15624.354503576602,36.064424332085764,20.119442954494303,31.88996275518292,7.763100666366881,3.986245344397865,7.553710643938032,strong_uptrend,0,0
2019-10-11,SS2002.SHF,15745,14654,False,False,15673.43140053812,15633.291207015372,40.14019352274772,24.123593068144988,32.03320090920547,4.075769190661958,4.0041501136506845,0.1432381540225478,strong_uptrend,0,0
2019-10-14,SS2002.SHF,15765,14774,False,False,15687.51887737841,15643.047413903123,44.47146347528724,28.19316714957344,32.55659265142759,4.331269952539515,4.069574081428453,0.5233917422221239,strong_uptrend,0,0
2019-10-15,SS2002.SHF,15440,14770,False,False,15649.439050089424,15628.006864725114,21.4321853643105,26.840970792520853,-10.817570856420708,-23.03927811097674,-1.3521963570525877,-43.3741635078483,downtrend,-1,-1
2019-10-16,SS2002.SHF,15490,14062,False,False,15624.909965460281,15617.784134004734,7.125831455547086,22.897942925126102,-31.544222939158033,-14.306353908763413,-3.9430278673947505,-20.726652082737324,downtrend,0,-1
2019-10-17,SS2002.SHF,15180,14866,False,False,15556.462278466392,15585.355679634013,-28.89340116762105,12.539674106576673,-82.86615054839544,-36.019232623168136,-10.35826881854943,-51.321927609237406,downtrend,0,-1
2019-10-18,SS2002.SHF,15020,16168,False,False,15473.929620240793,15543.477481142605,-69.54786090181187,-3.877832895101036,-131.34005601342167,-40.65445973419082,-16.41750700167771,-48.473905465026235,strong_downtrend,0,-1
2019-10-21,SS2002.SHF,14850,17612,False,False,15377.940447896055,15492.108778835745,-114.16833093969035,-25.9359325040189,-176.4647968713429,-44.620470037878476,-22.058099608917864,-45.12474085792124,strong_downtrend,0,-1
2019-10-22,SS2002.SHF,14895,18188,False,False,15303.641917450508,15447.878498921986,-144.23658147147762,-49.59606229751065,-189.28103834793393,-30.06825053178727,-23.66012979349175,-12.816241476591017,strong_downtrend,0,-1
2019-10-23,SS2002.SHF,14975,17306,False,False,15253.081622458121,15412.850461964801,-159.7688395066798,-71.63061773934449,-176.27644353467062,-15.532258035202176,-22.034555441833838,13.00459481326331,downtrend,0,-1
2019-10-24,SS2002.SHF,15005,17000,False,False,15214.915219003025,15382.639316634075,-167.72409763104952,-90.8493137176855,-153.74956782672803,-7.9552581243697205,-19.218695978341017,22.526875707942594,downtrend,0,-1
2019-10-25,SS2002.SHF,14960,17124,False,False,15175.69749300256,15351.332700587107,-175.63520758454615,-107.80649249105764,-135.65743018697702,-7.911109953496634,-16.957178773372135,18.092137639751,downtrend,0,-1
2019-10-28,SS2002.SHF,15005,16402,False,False,15149.436340232936,15325.678426469543,-176.24208623660707,-121.49361124016752,-109.49694999287908,-0.6068786520609137,-13.687118749109885,26.160480194097943,downtrend,0,-1
2019-10-29,SS2002.SHF,15025,15906,False,False,15130.292287889408,15303.405950434762,-173.1136625453546,-131.81762150120494,-82.59208208829932,3.1284236912524648,-10.324010261037415,26.90486790457976,downtrend,0,-1
2019-10-30,SS2002.SHF,15065,15738,False,False,15120.247320521807,15285.746250402557,-165.49892988075044,-138.55388317711405,-53.890093407272786,7.614732664604162,-6.736261675909105,28.701988681026535,downtrend,0,-1
2019-10-31,SS2002.SHF,14985,15984,False,False,15099.440040441528,15263.468750372738,-164.02870993120996,-143.64884852793324,-40.75972280655344,1.4702199495404784,-5.094965350819194,13.130370600719345,downtrend,0,-1
2019-11-01,SS2002.SHF,15000,16230,False,False,15084.141572681294,15243.952546641425,-159.81097396013138,-146.88127361437287,-25.85940069151701,4.217735971078582,-3.2324250864396333,14.900322115036431,downtrend,0,-1
2019-11-04,SS2002.SHF,14975,16166,False,False,15067.350561499556,15224.030135779098,-156.67957427954207,-148.84093374740672,-15.677281064270687,3.131399680589311,-1.9596601330338501,10.182119627246323,downtrend,0,-1
2019-11-05,SS2002.SHF,14910,16304,False,False,15043.142782807316,15200.768644239904,-157.62586143258886,-150.59791928444315,-14.055884296291424,-0.9462871530467964,-1.756985537036428,1.6213967679792631,downtrend,0,-1
2019-11-06,SS2002.SHF,14930,15964,False,False,15025.73620083696,15180.711707629542,-154.97550679258165,-151.47343678607086,-7.004140013021583,2.650354640007208,-0.8755175016277121,7.051744283269841,downtrend,0,-1
2019-11-07,SS2002.SHF,14920,15358,False,False,15009.469093015889,15161.399729286613,-151.9306362707248,-151.56487668300164,-0.7315191754462944,3.044870521856865,-0.0914398969307797,6.272620837575289,downtrend,0,-1
2019-11-08,SS2002.SHF,14780,15044,False,False,14974.166155628829,15133.147897487604,-158.98174185877542,-153.0482497181564,-11.866984281238047,-7.051105588050632,-1.4833730351547558,-11.135465105791752,strong_downtrend,0,-1
2019-11-11,SS2002.SHF,14210,19348,False,False,14856.602131685931,15064.766571747781,-208.16444006184975,-164.0714877868951,-88.18590454990931,-49.182698203074324,-11.023238068738692,-76.31892026867126,strong_downtrend,0,-1
2019-11-12,SS2002.SHF,14385,19704,False,False,14784.047957580404,15014.413492359057,-230.36553477865345,-177.33029718524676,-106.07047518681338,-22.20109471680371,-13.258809398351673,-17.884570636904073,strong_downtrend,0,-1
2019-11-13,SS2002.SHF,14360,20382,False,False,14718.809810260342,14965.93841885098,-247.12860859063767,-191.28995946632494,-111.67729824862545,-16.763073811984214,-13.959662281078181,-5.606823061812065,strong_downtrend,0,-1
2019-11-14,SS2002.SHF,14370,19736,False,False,14665.146762527982,14921.794832269425,-256.64806974144267,-204.3615815213485,-104.57297644018831,-9.519461150805,-13.071622055023568,7.104321808437135,downtrend,0,-1
2019-11-15,SS2002.SHF,14375,19548,False,False,14620.50879906214,14881.291511360578,-260.7827122984381,-215.64580767676645,-90.27380924334335,-4.134642556995459,-11.28422615541794,14.299167196844962,downtrend,0,-1
2019-11-18,SS2002.SHF,14300,20158,False,False,14571.199753052579,14838.232880889424,-267.03312783684487,-225.92327170878215,-82.21971225612543,-6.250415538406742,-10.2774640320157,8.054096987217918,downtrend,0,-1
2019-11-19,SS2002.SHF,14380,18920,False,False,14541.784406429106,14804.289704527244,-262.50529809813816,-233.23967698665336,-58.53124222296958,4.527829738706714,-7.316405277871212,23.688470033155852,downtrend,0,-1
2019-11-20,SS2002.SHF,14415,17890,False,False,14522.27911313232,14775.45343011782,-253.1743169854999,-237.2266049864227,-31.8954239981544,9.330981112638256,-3.9869279997693354,26.635818224815182,downtrend,0,-1
2019-11-21,SS2002.SHF,14375,16804,False,False,14499.62078803504,14745.790213072054,-246.16942503701466,-239.0151689965411,-14.308512080947139,7.004891948485238,-1.7885640101183924,17.58691191720726,downtrend,0,-1
2019-11-22,SS2002.SHF,14530,16786,False,False,14504.294512952725,14729.805752844495,-225.51123989176995,-236.31438317558687,21.606286567633845,20.658185145244715,2.7007858209542235,35.914798648580984,uptrend,1,1
2019-11-25,SS2002.SHF,14525,16862,False,False,14507.47997249846,14714.634956337495,-207.15498383903468,-230.48250330827645,46.65503893848353,18.35625605273526,5.83187986731042,25.048752370849684,uptrend,0,1
2019-11-26,SS2002.SHF,14370,15376,False,False,14486.329207498697,14689.106441053236,-202.77723355453963,-224.9414493575291,44.32843160597895,4.37775028449505,5.54105395074734,-2.3266073325045795,uptrend,0,1
